timestamp,open,high,low,close,volume
2022-08-04,933.0000,940.8200,915.0000,925.9000,23631247
2022-08-03,915.0000,928.6500,903.4500,922.1900,26697035
2022-08-02,882.0100,923.5000,878.0000,901.7600,31859156
2022-08-01,903.8250,935.6347,885.0000,891.8300,39014296
2022-07-29,842.1000,894.9600,837.3000,891.4500,31770961
2022-07-28,840.2000,849.9000,818.4000,842.7000,28240997
2022-07-27,791.4300,827.7768,785.3701,824.4600,29369996
2022-07-26,799.5400,801.9299,768.7900,776.5800,22273586
2022-07-25,816.6500,822.4400,802.2000,805.3000,21357835
2022-07-22,828.6600,842.3600,812.1400,816.7300,34490949
2022-07-21,765.3200,819.8000,764.6000,815.1200,47344059
2022-07-20,740.3500,751.9900,730.4490,742.5000,29621363
2022-07-19,735.0000,741.4200,710.9300,736.5900,26963370
2022-07-18,734.8100,751.5500,718.8100,721.6400,27512476
2022-07-15,720.0000,730.8699,710.6700,720.2000,23227673
2022-07-14,704.6900,715.9600,688.0000,714.9400,26185833
2022-07-13,676.5000,726.1799,675.1000,711.1200,32651499
2022-07-12,710.5400,719.3200,685.1050,699.2100,29310320
2022-07-11,756.3100,759.1900,700.8800,703.0300,33169740
2022-07-08,727.0000,764.9399,723.4843,752.2900,33951362
2022-07-07,701.7600,736.0850,696.6300,733.6300,27310230
2022-07-06,692.3400,703.6900,681.5600,695.2000,23951210
2022-07-05,669.0000,699.4400,648.5001,699.2000,28259704
2022-07-01,681.0000,690.6900,666.3601,681.7900,24820148
2022-06-30,673.5300,688.3700,656.5900,673.4200,31533484
2022-06-29,691.5000,693.5200,666.8200,685.4700,27632418
2022-06-28,733.4500,749.9100,697.0300,697.9900,30222167
2022-06-27,748.1000,756.2100,727.6966,734.7600,29726104
2022-06-24,712.4050,738.2000,708.2600,737.1200,31923565
2022-06-23,713.7150,717.9500,685.9100,705.2100,34734226
2022-06-22,703.5100,740.5000,701.4800,708.2600,33842420
2022-06-21,673.8100,730.7321,673.0000,711.1100,40930985
2022-06-17,640.3000,662.9082,639.5900,650.2800,30880590
2022-06-16,668.2100,675.5000,626.0800,639.3000,35796900
2022-06-15,662.7500,706.9899,654.4500,699.0000,39710645
2022-06-14,654.8600,678.9900,635.2100,662.6700,32662932
2022-06-13,669.5000,679.9000,644.0500,647.2100,34255754
2022-06-10,705.4700,718.5000,683.7400,696.6900,32696966
2022-06-09,748.0200,766.6399,717.9800,719.1200,32163769
2022-06-08,720.2600,749.8900,717.5300,725.6000,25403540
2022-06-07,702.0000,719.9900,690.2800,716.6600,24269534
2022-06-06,733.0600,734.6000,703.0500,714.8400,28068174
2022-06-03,729.6750,743.3899,700.2534,703.5500,37464579
2022-06-02,732.4700,792.6300,726.2000,775.0000,31157706
2022-06-01,755.1600,771.9800,730.9200,740.3700,25749321
2022-05-31,773.8400,778.8000,734.2300,758.2600,33971457
2022-05-27,723.2500,759.8000,720.5311,759.6300,29764994
2022-05-26,661.4200,718.6699,653.6600,707.7300,35334448
2022-05-25,623.8500,669.3200,623.0101,658.8000,30713108
2022-05-24,653.5300,653.9200,620.5700,628.1600,29697505
2022-05-23,655.0200,679.9551,638.0600,674.9000,29634546
2022-05-20,713.9900,721.5820,633.0000,663.9000,48324435
2022-05-19,707.0000,734.0000,694.1100,709.4200,30098891
2022-05-18,744.5200,760.5000,700.8100,709.8100,29270604
2022-05-17,747.3600,764.4800,728.8500,761.6100,26745370
2022-05-16,767.1600,769.7600,719.0885,724.3700,28699513
2022-05-13,773.4800,787.3499,751.5650,769.5900,30716908
2022-05-12,701.0000,759.6600,680.0000,728.0000,46770954
2022-05-11,795.0000,809.7700,727.2000,734.0000,32408153
2022-05-10,819.3100,825.3600,774.2500,800.0400,28133877
2022-05-09,836.4500,845.6300,781.1500,787.1100,30270074
2022-05-06,887.0000,888.0000,843.1050,865.6500,24301037
2022-05-05,939.2100,945.6000,857.7000,873.2800,30839731
2022-05-04,903.9400,955.5000,885.2800,952.6200,27039655
2022-05-03,903.1800,924.0800,888.5900,909.2500,21236525
2022-05-02,860.7700,906.3599,848.0300,902.9400,25260457
2022-04-29,902.2500,934.3999,870.0000,870.7600,29377665
2022-04-28,899.9800,900.0000,821.7000,877.5100,41649509
2022-04-27,898.5800,918.0000,877.3600,881.5100,25652132
2022-04-26,995.4300,1000.0000,875.0000,876.4200,44694524
2022-04-25,978.9700,1008.6200,975.3000,998.0200,22780445
2022-04-22,1014.9100,1034.8500,994.0001,1005.0500,23232186
2022-04-21,1074.7300,1092.2200,996.4150,1008.7800,35138779
2022-04-20,1030.0000,1034.0000,975.2501,977.2000,21616141
2022-04-19,1005.0600,1034.9400,995.3250,1028.1500,16615944
2022-04-18,989.0300,1014.9200,973.4100,1004.2900,17238407
2022-04-14,999.2900,1012.7099,982.1900,985.0000,19474135
2022-04-13,981.0750,1026.2400,973.0970,1022.3700,18373737
2022-04-12,997.6400,1021.1921,976.6001,986.9500,21992032
2022-04-11,980.4000,1008.4681,974.6400,975.9300,19785735
2022-04-08,1043.2100,1048.4400,1022.4350,1025.4900,18337896
2022-04-07,1052.3900,1076.5900,1021.5401,1057.2600,26482353
2022-04-06,1073.4700,1079.0000,1027.7000,1045.7600,29782845
2022-04-05,1136.3000,1152.8700,1087.3000,1091.2600,26192187
2022-04-04,1089.3800,1149.9100,1072.5300,1145.4500,27392567
2022-04-01,1081.1500,1094.7500,1066.6400,1084.5900,18087741
2022-03-31,1094.5700,1103.1399,1076.6410,1077.6000,16330919
2022-03-30,1091.1700,1113.9500,1084.0000,1093.9900,19955002
2022-03-29,1107.9900,1114.7700,1073.1100,1099.5700,24538273
2022-03-28,1065.1000,1097.8799,1053.6000,1091.8400,34168693
2022-03-25,1008.0000,1021.7999,997.3201,1010.6400,20496893
2022-03-24,1009.7300,1024.4900,988.8000,1013.9200,22973626
2022-03-23,979.9400,1040.7000,976.4000,999.1100,40225383
2022-03-22,930.0000,997.8600,921.7500,993.9800,34882278
2022-03-21,914.9800,942.8500,907.0900,921.1600,26640958
2022-03-18,874.4900,907.8500,867.3900,905.3900,33443159
2022-03-17,830.9900,875.0000,825.7178,871.6000,22194324
2022-03-16,809.0000,842.0000,802.2601,840.2300,28009607
2022-03-15,775.2700,805.5700,756.5700,801.8900,22280381
2022-03-14,780.6100,800.7000,756.0400,766.3700,23717421
